Nick,Message,Timestamp
dyveklykan,ainley is madder.,2019-01-22 22:37:00
pup314,no leave the dead in peace.,2019-01-22 22:37:02
sequentialcircuits,@simongradio thanks,2019-01-22 22:37:06
mitsukara,"also the new master's first act (after stealing his new body by killing a guy) was to kill a defenseless old lady because she happened to be there, tegan's aunt",2019-01-22 22:37:18
troyisimba,@simongradio but the crowd demands it :(,2019-01-22 22:37:21
mightyjone,pewdiepie is the master,2019-01-22 22:37:24
mitsukara,and then he destroyed a bunch of worlds by messing with spacetime,2019-01-22 22:37:26
itsjayfolks,"delgado is irreplacable. maybe eric roberts could do it, but no one else.",2019-01-22 22:37:26
zennythetroll,do u guys remember sarah jane,2019-01-22 22:37:28
southernuk,bamboozled by the master,2019-01-22 22:37:34
sincerelysulu,quality footwork,2019-01-22 22:37:37
simongradio,you wont see tegans goodbye story,2019-01-22 22:37:39
captainjotaro,doesn't exercise make the doctor hungry?,2019-01-22 22:37:40
reratch,london nineteensixtyfiiive,2019-01-22 22:37:42
valeyard_x,oh no! it's the master!!,2019-01-22 22:37:43
comanderskittles,@toratora_tt here we go again,2019-01-22 22:37:47
metalunamutant2000,"ainleys master was just mad, camp and goofy which is how jnt told ainley to play him",2019-01-22 22:37:56
mclarenmercedes_,"delgado is the , ainley the second (in my opinion)",2019-01-22 22:37:56
mrkaharvey,"oh my dear doctor, you have been nieve. great line",2019-01-22 22:37:57
brickie78,"@mitsukara well, a policeman first",2019-01-22 22:37:58
hobbitdude13,"@metalunamutant2000 they only got away with that because david bradley is and basically a duplicate of hartnell physically, it'd be impossible to capture that lightning in a bottle again",2019-01-22 22:37:58
antaries7,"@mitsukara and has a uncontrollable urge to kill. if it's in his way, kill, itf it's not funny, kill, etc",2019-01-22 22:38:03
simongradio,thanks to terry nation estate,2019-01-22 22:38:04
voldsrud,masterly masterwork,2019-01-22 22:38:05
laura_page,i don't ever want to see a new version of any doctor who story unless it's lost and the new is illustrated,2019-01-22 22:38:06
toratora_tt,once more with feeling,2019-01-22 22:38:08
solidstumbler,time for a salami sandwich?,2019-01-22 22:38:08
oobilliejoeoo,quality footwork,2019-01-22 22:38:08
mitsukara,"oh yeah, forgot about the policeman",2019-01-22 22:38:11
potassionite,wow well done tegan,2019-01-22 22:38:18
sincerelysulu,my weeebbbbb,2019-01-22 22:38:19
toratora_tt,mmmmmmmmmmmmm,2019-01-22 22:38:19
