Nick,Message,Timestamp
cookiemonster523,@xeneri yes,2019-01-22 20:51:07
southernuk,anyone old enough to have watched some of these the first time round?,2019-01-22 20:51:10
sjslis,@xeneri yes,2019-01-22 20:51:13
drakooooon,:) no memes,2019-01-22 20:51:14
scottsummers497,i'm sure your audience can handle seeing old effects from a good episode.,2019-01-22 20:51:15
skeletorsyourdaddy,the music is the part,2019-01-22 20:51:19
comanderskittles,intro is hd,2019-01-22 20:51:22
mitsukara,"@xeneri yes, but that'll be rerun at 10pm pacific time",2019-01-22 20:51:23
scotchcraft,"maybe the answer to all our questions is to replace ""sea"" with s",2019-01-22 20:51:24
xeneri,and this ep is?,2019-01-22 20:51:29
scotchcraft,*space,2019-01-22 20:51:30
fapingdolphin69,guys we need to sub to pewdiepie he is losing the race to 100 million subs,2019-01-22 20:51:31
melikesong,sourpls,2019-01-22 20:51:31
scottsummers497,@southernuk no. and i'm 31 :),2019-01-22 20:51:33
yavichan,just love this story,2019-01-22 20:51:34
elios000,enlightenment!,2019-01-22 20:51:39
drakooooon,:) this this necezzary?,2019-01-22 20:51:41
southernuk,:d,2019-01-22 20:51:47
terry_cooper,i watched from 3rd doc to jodie. missed out a lot of colin b though,2019-01-22 20:51:48
comanderskittles,im 999999999,2019-01-22 20:51:52
anesthesiacat,marker boys,2019-01-22 20:51:54
terry_cooper,(i discovered girls),2019-01-22 20:51:57
drakooooon,:) is*,2019-01-22 20:51:58
xhodocto385,treasure planet,2019-01-22 20:51:59
scotchcraft,space sailing on the space wind drinking space grog for our space sickness,2019-01-22 20:52:02
mikasnape,yes i'm 52,2019-01-22 20:52:07
mojorising42,only when it first aired on some pbs station years later...,2019-01-22 20:52:09
southernuk,haha space,2019-01-22 20:52:17
doomcoalition,spaceship!!!!!!!!,2019-01-22 20:52:19
mosborg,:p,2019-01-22 20:52:19
southernuk,in space,2019-01-22 20:52:24
anesthesiacat,a space ship in space,2019-01-22 20:52:26
jovetne,@mojorising42 same for me,2019-01-22 20:52:28
xhodocto385,hahaa,2019-01-22 20:52:29
cookiemonster523,how are the sails moving,2019-01-22 20:52:30
scottsummers497,"@southernuk grew up reading the target novelisations after the abc decided to repeat an unearthly child and saved up money for the vhs tapes when i was older, though :)",2019-01-22 20:52:32
glennrules,anyone else find the black guardian scary,2019-01-22 20:52:32
jive_turkey1999,"""a ship....a space ship"" tpdrwhoshock",2019-01-22 20:52:34
hzarim,are they really sea ships???,2019-01-22 20:52:37
drakooooon,:) battleships,2019-01-22 20:52:38
scottsummers497,@southernuk i'm australia,2019-01-22 20:52:47
vascof2001,literal space ship!!!,2019-01-22 20:52:49
jovetne,@hzarim yes.,2019-01-22 20:52:57
doomcoalition,yet,2019-01-22 20:53:05
scottsummers497,@southernuk *australian.,2019-01-22 20:53:06
