Nick,Message,Timestamp
robogeoff,nice dress,2019-01-22 21:29:29
cmc12345678war910111213,she dressed up for a musical the captain woman,2019-01-22 21:29:31
watch_it_spaceman,same person.,2019-01-22 21:29:32
anesthesiacat,what's the point of a tube communication system when you're all telepaths,2019-01-22 21:29:35
mosborg,sourpls,2019-01-22 21:29:36
southernuk,these cheesy synth tracks are to behold,2019-01-22 21:29:46
cupoftea0,food time,2019-01-22 21:29:48
toratora_tt,love this music,2019-01-22 21:29:50
cmc12345678war910111213,tegan looks nice,2019-01-22 21:29:52
monkeysniffer,ohhh captain wack <3,2019-01-22 21:29:55
khrin_sco,ladies and gentlemen: introducing polyphonic spree,2019-01-22 21:29:55
stevebeck2014,cantina band,2019-01-22 21:29:58
draugur_,"um it's celery, stay in school, really stay in school war0c",2019-01-22 21:29:59
ezco81,buccaneer party time,2019-01-22 21:29:59
stufew,leee john!,2019-01-22 21:30:02
toratora_tt,sourpls,2019-01-22 21:30:04
terry_cooper,yay! leee john!,2019-01-22 21:30:04
brickie78,"wait, that's leee john!",2019-01-22 21:30:05
mistersp00n,leeee acting,2019-01-22 21:30:05
theworldisatoilet,this is my favorite song,2019-01-22 21:30:06
valeyard_x,growl,2019-01-22 21:30:07
melikesong,sourpls,2019-01-22 21:30:09
torm86,@anesthesiacat don't confuse us with logic,2019-01-22 21:30:09
xhodocto385,za warudo,2019-01-22 21:30:10
terry_cooper,he's a mate of mine,2019-01-22 21:30:12
mightyjone,ill have a salami sandwich,2019-01-22 21:30:13
drakooooon,they still do those?,2019-01-22 21:31:18
sleepydog404,monkey island soundtrack,2019-01-22 21:31:19
josephgioielli,"@melikesong of course, i just believe they should have used a setting that actually fit the situation. no a rehash historical",2019-01-22 21:31:20
cupoftea0,sandwiches time for the doctor,2019-01-22 21:31:20
stufew,leee with 3 es!,2019-01-22 21:31:21
bradster1977,it's leeeeeeeeeeeeeee john!,2019-01-22 21:31:21
cmc12345678war910111213,fancy dress anyone :d,2019-01-22 21:31:22
stevebeck2014,lo',2019-01-22 21:31:22
toratora_tt,sourpls,2019-01-22 21:31:25
pikablue69,what episode are we on?,2019-01-22 21:31:26
roaminganon,last chance saloon,2019-01-22 21:31:27
milknmiffle,enlightenment 3/4,2019-01-22 21:31:30
electricmastro,3,2019-01-22 21:31:30
spectatorlo_ol,"it's just a game, it's only a game",2019-01-22 21:31:30
war0c,hahaha i will check my eyes to better identify celery. thanks,2019-01-22 21:31:30
terry_cooper,@pikablue69 ep 3 of 4,2019-01-22 21:31:30
xhodocto385,game music,2019-01-22 21:31:30
mizzy_dragora,the attire for tegan steals my beating heart :),2019-01-22 21:31:30
comanderskittles,@toratora_tt mowa,2019-01-22 21:31:30
bradster1977,this music is called the milonga. it's on one of the radiophonic workshop cds.,2019-01-22 21:31:30
war0c,doees the celery shoot acid?,2019-01-22 21:31:30
cmc12345678war910111213,"snacks yum yum, doctor loves snacks",2019-01-22 21:31:30
c141c130,turlough is waiting to be tied up,2019-01-22 21:31:30
robogeoff,"wait, doesn't tegan have short now?",2019-01-22 21:31:30
dyveklykan,more imaginary celery.,2019-01-22 21:31:30
brickie78,entlrely appropriating that leee john is in this one - because it's all just an illusion (oh oh oh oh-oh),2019-01-22 21:31:30
drakooooon,festive melody,2019-01-22 21:31:30
toratora_tt,sourpls,2019-01-22 21:31:30
bombastictyrant,"this doc is allergic to celery, he keeps a sprig to make an antidote",2019-01-22 21:31:30
ezco81,captain rack,2019-01-22 21:31:33
roaminganon,tegan found some extensions,2019-01-22 21:31:34
xeneri,the celery has only one purpose.... which you will see in a few episodes,2019-01-22 21:31:36
majestyc2k1,capt rack? she sure,2019-01-22 21:31:39
loth_nl,captain rack you mean,2019-01-22 21:31:40
royal_hyena,what episode is this?,2019-01-22 21:31:41
metebelis3,scriptwriter loves the word fascinating,2019-01-22 21:31:41
monkeysniffer,dear ol captain wack and her charming laugh,2019-01-22 21:31:44
xhodocto385,borges at 80,2019-01-22 21:31:44
tehepicjack,death switch,2019-01-22 21:31:49
milknmiffle,enlightenment 3/4,2019-01-22 21:31:50
kurohame,sourpls,2019-01-22 21:31:50
bradster1977,"and now, singing ballard of the last change saloon, captain wrack!",2019-01-22 21:31:59
mightyjone,"ill have a celery sarnie, please",2019-01-22 21:32:13
doomcoalition,"fun fact: lynda baron who plays wrack, is also the voice who sings the ballad of the last chance saloon",2019-01-22 21:32:14
bradster1977,chance!!,2019-01-22 21:32:15
paulplayssolo,"gonna watch the of androzani tonight, and i got a nice bag of jelly babies for the occasion",2019-01-22 21:32:16
toratora_tt,sourpls,2019-01-22 21:32:18
morritzi,rate my captain,2019-01-22 21:32:19
sleepydog404,what sourpls mean?,2019-01-22 21:32:19
anesthesiacat,captain rack seems aptly named,2019-01-22 21:32:20
drakooooon,when the characters are more fascinating than the writer,2019-01-22 21:32:21
ram99a,celery switch alert,2019-01-22 21:32:21
jovetne,tegan's dress is,2019-01-22 21:32:21
strawberryrosegarden,doc choosing a new celery :d,2019-01-22 21:32:25
war0c,:d,2019-01-22 21:32:26
spectatorlo_ol,doctor is a vegan,2019-01-22 21:32:34
ezco81,"new celery, mission complete",2019-01-22 21:32:35
oliviablackstar,new celery,2019-01-22 21:32:35
