Nick,Message,Timestamp
ardyn5,used homer's makeup invention,2019-01-22 23:13:56
djloekee27,what serial is this?,2019-01-22 23:13:57
mistersp00n,eyeshadow of the future,2019-01-22 23:13:59
notlikethiisttv,give me one,2019-01-22 23:14:00
captainjackscodpiece,@lakrids_pibe countess dracula is still a classic,2019-01-22 23:14:01
drakooooon,:),2019-01-22 23:14:02
toratora_tt,oh my god,2019-01-22 23:14:03
the_bunk_,lockbox,2019-01-22 23:14:03
f44444444,im the biggest turlough fan,2019-01-22 23:14:05
livinginvideo,@seanpbrody us cover? it has more than one,2019-01-22 23:14:15
bitstorm_,wow there's like 100 different tardis types according to the wiki,2019-01-22 23:14:15
pup314,men over 30 should not wear eyeliner unless they are playing doctor smith or the master. or an evil kirk,2019-01-22 23:14:16
mylegssusan,@toratora_tt just like hillary clinton :d,2019-01-22 23:14:18
retrorex80,what year was this season?,2019-01-22 23:14:22
toratora_tt,you mean i stripped off in full view of everyone?,2019-01-22 23:14:24
metalunamutant2000,@f44444444 not showing the non terry nation scripts is particularly bad because terry nations dalek scripts (except dead planet and genesis) stink. daleks always better when written by others,2019-01-22 23:14:27
sincerelysulu,she's the doctor,2019-01-22 23:14:28
laura_page,so is nyssa gone already? i was out most of the day,2019-01-22 23:14:28
creamypjg,intrudah,2019-01-22 23:14:29
mrmackem2,"@toratora_tt do you mind, that's my mother!",2019-01-22 23:14:30
florbotv,twin dilemma tommorow,2019-01-22 23:14:34
dyveklykan,1984,2019-01-22 23:14:35
drakooooon,:),2019-01-22 23:14:36
blotto1967,where's nyssa?,2019-01-22 23:14:40
creamypjg,shake camera,2019-01-22 23:14:43
dude_wheres_my_tardis,materialization flip flop,2019-01-22 23:14:45
mentalmidgetslayer,"the 5 doctors holds a questionable status to some i think. even i am not sure how i see it, perhaps a bit fascinating.",2019-01-22 23:14:47
kamekazieguy,"if they've not materialised, how can they be shot at?",2019-01-22 23:14:48
f44444444,ahh,2019-01-22 23:14:51
rafael_de8,we're gonna crash aaaaaaa,2019-01-22 23:14:52
strawberryrosegarden,"yeah, nyssa left",2019-01-22 23:14:54
kineticpause,flip flop,2019-01-22 23:14:55
jeramiah2000,flip flop confirmed,2019-01-22 23:14:57
captainjackscodpiece,@laura_page she left early in the day in terminus,2019-01-22 23:14:58
dyveklykan,this is set in 2084.,2019-01-22 23:14:59
metebelis3,eddie murphy outfit,2019-01-22 23:15:00
quiksand,materialization flip flop :p,2019-01-22 23:15:01
creamypjg,colin time tomorrow,2019-01-22 23:15:01
djloekee27,what serial is playing right now?,2019-01-22 23:15:02
kamekazieguy,star trek shake,2019-01-22 23:15:02
brickie78,@metalunamutant2000 why do you think they don't like non-tn stories being shown?,2019-01-22 23:15:04
sunshift,"tbh ""we need just a little more time"" is a good thing to say to military after being spotted in a forbidden zone",2019-01-22 23:15:04
seanpbrody,@livinginvideo cool. i was not aware of that,2019-01-22 23:15:04
toratora_tt,"excuse me,my mistake (exits stage left)",2019-01-22 23:15:07
comanderskittles,why is it a vertural boy,2019-01-22 23:15:08
itstyranny,hey there,2019-01-22 23:15:09
f44444444,nyssa departure was so sad,2019-01-22 23:15:13
warwytch,i don't see resurrection of the daleks on the schedule either. definitely a peter story.,2019-01-22 23:15:18
brickie78,bbc micro,2019-01-22 23:15:18
the_bunk_,green screen of death,2019-01-22 23:15:19
sunshift,*isn't i mean,2019-01-22 23:15:20
peaeyeennkay,missile command atari 2600 port.,2019-01-22 23:15:21
laura_page,"@captainjackscodpiece thanks, and farewell nyssa <3",2019-01-22 23:15:24
spectatorlo_ol,atari gfx,2019-01-22 23:15:24
captainjotaro,"i'm surprised they showed ""the mind of evil"" and ""the war games"" since they have dalek cameos.",2019-01-22 23:15:24
kamekazieguy,graphics by ceefax,2019-01-22 23:15:26
crayzcrinkle,:d state of the art 3d effects,2019-01-22 23:15:27
seanpbrody,odyssey / videopac,2019-01-22 23:15:29
kineticpause,graphics,2019-01-22 23:15:30
elkestra,"aha... of course, ingrid pitt :)",2019-01-22 23:15:31
trekkie313,not even positioned on the screen correctly :d,2019-01-22 23:15:31
f44444444,twin dilemma oh yes,2019-01-22 23:15:32
warwytch,"nyssa left in terminus. sweet, but sad.",2019-01-22 23:15:34
mclarenmercedes_,tomorrow the title sequence animation wont be so boring,2019-01-22 23:15:34
dude_wheres_my_tardis,@kamekazieguy they were materialized..other wise how could they see the other ship,2019-01-22 23:15:34
southernuk,hyper futuristic graphics,2019-01-22 23:15:35
captainjackscodpiece,apple ii graphic confirmed,2019-01-22 23:15:35
creamypjg,windows crash,2019-01-22 23:15:39
hailfiretank,:d,2019-01-22 23:15:40
dyveklykan,louder than the bridge on the original enterprise.,2019-01-22 23:15:41
creamypjg,:d,2019-01-22 23:15:46
crayzcrinkle,beekeepers in background,2019-01-22 23:15:47
mogunsnammo,tremendous,2019-01-22 23:15:49
drakooooon,:),2019-01-22 23:15:50
bigedbarnham,such sensible footwear.,2019-01-22 23:15:50
metebelis3,clever prime,2019-01-22 23:15:54
drjoshua1963,high tech,2019-01-22 23:15:57
philster401,why would twitch not like daleks?,2019-01-22 23:16:01
captainjackscodpiece,"plaid alert, plaid alert",2019-01-22 23:16:03
quiksand,wee oo wee ooo,2019-01-22 23:16:04
ukteresa,:d the graphics are too much,2019-01-22 23:16:07
metalunamutant2000,"@f44444444 non nation scripts for masterplan, evil, power, day and 3 they arent showing are far better than death, planet, chase and (ugh) destiny",2019-01-22 23:16:16
t1gger65,didn't duran duran tour in those outfits?,2019-01-22 23:16:16
dude_wheres_my_tardis,"prepare the singer, its karaoke time",2019-01-22 23:16:18
seanpbrody,i assume they used bbc micro actually,2019-01-22 23:16:19
djloekee27,what story is this?,2019-01-22 23:16:21
mrmackem2,who's playing,2019-01-22 23:16:22
drakooooon,:) i cant do it sir,2019-01-22 23:16:23
anonspace,that almost sounds like patrick stewart,2019-01-22 23:16:24
organic_fertiliser,are they going to show ceefax holidays on p.180,2019-01-22 23:16:24
quiksand,maddox :(,2019-01-22 23:16:26
oedipuserex,press the for hime!,2019-01-22 23:16:30
kamekazieguy,"@dude_wheres_my_tardis yh, i get that, but they would have to de-materialise before performing an emergency materialisation",2019-01-22 23:16:31
captainjotaro,@philster401 the terry nation estate are to blame.,2019-01-22 23:16:32
serenity39,@philster401 what do you mean?,2019-01-22 23:16:35
spectatorlo_ol,why only he can do it?,2019-01-22 23:16:38
mogunsnammo,we cant have non dalek terry nation stories due to licensing issues,2019-01-22 23:16:45
pistachius,"warriors of the deep, iirc @djloekee27",2019-01-22 23:17:02
dyveklykan,plugged in.,2019-01-22 23:17:12
kineticpause,head hole,2019-01-22 23:17:12
drakooooon,:),2019-01-22 23:17:14
kigf,@spectatorlo_ol maybe he is the only disposable guy,2019-01-22 23:17:21
laura_page,wha?? he's got a ghole in his hegad,2019-01-22 23:17:22
techgambino,"just show anyway, it's not like terry nation is watching",2019-01-22 23:17:23
ukteresa,:d,2019-01-22 23:17:23
trekkie313,"they spent so much one these sets, you'll see what got neglected later :d",2019-01-22 23:17:24
metalunamutant2000,"neo , the matrix, 1984",2019-01-22 23:17:25
phallictrebek,he's getting a perm,2019-01-22 23:17:26
mikasnape,"go to amber alert! are you certain, sir? it mean changing the bulb!",2019-01-22 23:17:27
southernuk,blimey missile command!,2019-01-22 23:17:29
samael75,:),2019-01-22 23:17:31
jummells,is this kraftwerk,2019-01-22 23:17:32
captainjackscodpiece,the last 3 dalek stories we are missing are some of my favorites.,2019-01-22 23:17:32
spectatorlo_ol,:p nextgen gfx,2019-01-22 23:17:33
dude_wheres_my_tardis,"@kamekazieguy the doctor called it a flip flop, which am presuming they just phase in and out so solid objects pass thru, like missiles",2019-01-22 23:17:34
toratora_tt,do androids dream of electric sheep?,2019-01-22 23:17:37
ram99a,atari missle command,2019-01-22 23:17:39
kineticpause,missile command,2019-01-22 23:17:43
cmdrscorchio,"mo.1:col.2:printtab(9,7)""yellow alert""",2019-01-22 23:17:45
crayzcrinkle,the effects are blowing my mind,2019-01-22 23:17:45
captainjackscodpiece,we are under the sea! spongebob!,2019-01-22 23:17:47
death2gnomes,red alert! red alert!,2019-01-22 23:17:49
huygens2000,which story is this?,2019-01-22 23:17:49
f44444444,wheres kamelion,2019-01-22 23:17:51
strawberryrosegarden,hole in the head reminds me of that one 9th doctor episode,2019-01-22 23:17:54
warwytch,wait until the myrka shows up... oy vey!,2019-01-22 23:17:55
the_bunk_,peter davison looks like a year old with that new haircut,2019-01-22 23:17:58
bigbadbull2000,@captainjackscodpiece the last dalek story is far better than the first two tho,2019-01-22 23:18:04
warwytch,this is warriors of the deep.,2019-01-22 23:18:07
creamypjg,:d,2019-01-22 23:18:10
dude_wheres_my_tardis,150...bit of a long countdown :d,2019-01-22 23:18:12
huygens2000,this is warriors of the deep?,2019-01-22 23:18:12
lakrids_pibe,james acaster,2019-01-22 23:18:14
dyveklykan,kamelion has been quietly forgotten for the meantime...,2019-01-22 23:18:18
metalunamutant2000,"resurrection and revelation are great stories, and remembrance is one of who stories ever.",2019-01-22 23:18:18
death2gnomes,"30 print ""fire missles!"",8,1",2019-01-22 23:18:19
laura_page,@f44444444 kamelion is napping he's had a rough night,2019-01-22 23:18:22
quiksand,tegans clothes are fly,2019-01-22 23:18:25
roaminganon,1980s computers :d,2019-01-22 23:18:28
pup314,remember cgi was invented by the movie tron.,2019-01-22 23:18:31
huygens2000,the doctor who story right? xp,2019-01-22 23:18:34
kamekazieguy,"@dude_wheres_my_tardis or, he could just dematerialise? he always makes things over-complicated :)",2019-01-22 23:18:34
spectatorlo_ol,"it's ok doctor, i'll stay in the tardis",2019-01-22 23:18:38
f44444444,ahh bless him,2019-01-22 23:18:39
zomb8,fine selection of shell suits,2019-01-22 23:18:41
vonghorst,this has the monster ever designed for dr. who,2019-01-22 23:18:44
metalunamutant2000,8-bit computers control earths nuclear arsenal,2019-01-22 23:18:46
pup314,comodore 64,2019-01-22 23:18:47
mogunsnammo,sweati boi,2019-01-22 23:18:48
toratora_tt,chameleon is tegan now,2019-01-22 23:18:49
quiksand,so glad we got rid of nyssa for these two :),2019-01-22 23:18:51
dyveklykan,mutually assured destruction.,2019-01-22 23:18:52
creamypjg,"wow, graphics",2019-01-22 23:18:56
spectatorlo_ol,he's touching that guy bum,2019-01-22 23:18:58
comanderskittles,@toratora_tt i have never loved a real person by the way im glad,2019-01-22 23:18:59
techgambino,kamelion and k9 are in the tardis playing,2019-01-22 23:19:01
sunshift,what a way to carry him,2019-01-22 23:19:02
mab2100,dailymotion as 5 doctors for those wanting to see it..,2019-01-22 23:19:03
the_bunk_,"it's all clear, but we're still on full alert",2019-01-22 23:19:04
captainjackscodpiece,@bigbadbull2000 i have a soft spot for revelation of the daleks. it is weird and dark in all the wrong ways,2019-01-22 23:19:05
laura_page,:d,2019-01-22 23:19:06
cmdrscorchio,"40 sound 1, -15, 100, 10",2019-01-22 23:19:08
metalunamutant2000,@toratora_tt mind blown,2019-01-22 23:19:08
organic_fertiliser,10 print hello 20 goto 10,2019-01-22 23:19:09
roaminganon,funny that what was complex to create on a computer in 1983 could be done by a four-year-old today,2019-01-22 23:19:10
the_bunk_,?,2019-01-22 23:19:10
realmadamstan,one of gary numan's stage outfits,2019-01-22 23:19:17
warwytch,"somewhere i have a poster with the 5th doctor, turlough and tegan in *that* dress. i think it's still in one piece. the poster, not the dress. can't vouch for that.",2019-01-22 23:19:17
mogunsnammo,im here for the memes,2019-01-22 23:19:17
death2gnomes,"radio shack built the tardis 1000 computer, errr tandi",2019-01-22 23:19:23
toratora_tt,"lucky you skittles,its way overrated imo",2019-01-22 23:19:30
mikeylugo,hey chat,2019-01-22 23:19:31
mylegssusan,@quiksand i just want nyssa and adric back :(,2019-01-22 23:19:33
captainjackscodpiece,@metalunamutant2000 that is not that far off the mark. norad uses obsolete computers in many parts,2019-01-22 23:19:34
metalunamutant2000,what is kamelion is actually tegan or turlough in the next few stories,2019-01-22 23:19:35
mistuhsupreme,:d,2019-01-22 23:19:35
metebelis3,@vonghorst oh i remember. the panto horse monster.,2019-01-22 23:19:39
f44444444,i can imagine k9 and kamelion being friends,2019-01-22 23:19:41
huygens2000,"hahaha, tegan is",2019-01-22 23:19:42
jummells,:d,2019-01-22 23:19:43
drakooooon,:),2019-01-22 23:19:43
ifics,:d,2019-01-22 23:19:44
mikeylugo,:/ :/,2019-01-22 23:19:44
mogunsnammo,booo ya!,2019-01-22 23:19:45
sunshift,:d,2019-01-22 23:19:46
kigf,why would that door not be locked,2019-01-22 23:19:46
toratora_tt,poor skittles,2019-01-22 23:19:48
00ky,where is nyssa?,2019-01-22 23:19:56
quiksand,@mylegssusan nyssa :) adric,2019-01-22 23:19:59
warwytch,"if you want nyssa and adric back, definitely have to listen to the big finish audios.",2019-01-22 23:20:01
sunshift,aaar presence remains aaaaandeetecteeed,2019-01-22 23:20:10
huygens2000,silurians look quite cool tbh,2019-01-22 23:20:12
death2gnomes,"turtle, turle, i am the master of deezguyz",2019-01-22 23:20:13
pup314,nyssa is on terminus,2019-01-22 23:20:15
kamekazieguy,"hey silurian, remember to move your whole body, so we you're acting",2019-01-22 23:20:17
organic_fertiliser,they must be destroyed,2019-01-22 23:20:23
f44444444,big finish isnt canon,2019-01-22 23:20:24
laura_page,"oh revelation of the daleks is not being shown as well, it's so gruesome the whole thing",2019-01-22 23:20:24
creamypjg,big finish cost alot,2019-01-22 23:20:25
