Nick,Message,Timestamp
matteo_prayer,f,2019-01-22 22:06:22
changewinds,little bit of a cold coming on,2019-01-22 22:06:22
c141c130,fried dark meat chicken,2019-01-22 22:06:23
kinhalchemist,:),2019-01-22 22:06:23
poxun1,eug guge gee gekk,2019-01-22 22:06:23
monzo_tx,smash,2019-01-22 22:06:24
cookiemonster523,reported :d,2019-01-22 22:06:25
bostonpolarbear,better eyebrows!,2019-01-22 22:06:26
wakeupshoyuu,uuuaaaaaahh eeuuuaahhhhhh,2019-01-22 22:06:26
mclarenmercedes_,uuyueyryuyeueuryueuryrueueuyrueue,2019-01-22 22:06:28
howel,:),2019-01-22 22:06:29
lancelive,put the fire out maybe :),2019-01-22 22:06:29
livinginvideo,that is acting,2019-01-22 22:06:29
cmc12345678war910111213,goooodbuy,2019-01-22 22:06:30
zekrown_,yyayaharyhr,2019-01-22 22:06:31
mrbfox1,steamed ham,2019-01-22 22:06:31
mojorising42,back when real flame on set was possible,2019-01-22 22:06:32
wolfoffenric,you've over cooked that crow,2019-01-22 22:06:33
monzo_tx,epic,2019-01-22 22:06:34
arbitrary_dmz,acting intensifies,2019-01-22 22:06:36
reeve2,sounded mucus-y,2019-01-22 22:06:37
xeneri,"bye, black guardian! we'll miss your bird-head",2019-01-22 22:06:38
savoymills,is fire super effective against dark/flying!?!?,2019-01-22 22:06:40
xhodocto385,kingdom hearts 3 ending,2019-01-22 22:06:41
anarwen,burnt bird,2019-01-22 22:06:44
khrin_sco,teegs is having none of it!,2019-01-22 22:06:47
majestyc2k1,friendship is the true treasure,2019-01-22 22:07:00
monkeysniffer,wise bird head man speaks riddles,2019-01-22 22:07:05
cupoftea0,that fire went out fast,2019-01-22 22:07:07
mightyjone,grilled raven,2019-01-22 22:07:08
jonendorf,third encouner :|,2019-01-22 22:07:08
roaminganon,turlough redeemed :df <3,2019-01-22 22:07:08
vivtheimplier,the key to time,2019-01-22 22:07:10
spidweb,narrator voice: he was not waiting for a third encounter.,2019-01-22 22:07:15
roaminganon,:d,2019-01-22 22:07:15
pup314,the destroy you both i will,2019-01-22 22:07:16
xhodocto385,balance,2019-01-22 22:07:16
reeve2,enlightenment is the friends we made along the way,2019-01-22 22:07:17
dimfringes,poof !,2019-01-22 22:07:18
fuzzycorona,maybe the real enlightenment was the friends they made along the way,2019-01-22 22:07:20
jauntyalan,nice hat,2019-01-22 22:07:21
hayleymdraws,well that was ambigious,2019-01-22 22:07:21
kdoomed,why do we need them?,2019-01-22 22:07:22
anesthesiacat,off to the new bird hat store,2019-01-22 22:07:22
c141c130,ying and yang,2019-01-22 22:07:23
livinginvideo,destroy the fwhite guardian,2019-01-22 22:07:23
szmitten,never seen again,2019-01-22 22:07:28
the_bunk_,this is my favourite anim,2019-01-22 22:07:29
jovetne,the third encounter never happened,2019-01-22 22:07:30
glennrules,what did you think of this story,2019-01-22 22:07:34
savoymills,why not,2019-01-22 22:07:34
cmc12345678war910111213,the blackguardian coming sometime in new who era run,2019-01-22 22:07:35
polaritylolol,oooooeeeeooooooo,2019-01-22 22:07:35
pup314,we need some daleks first,2019-01-22 22:07:36
dimfringes,ooh waa ooooo!,2019-01-22 22:07:37
mightyjone,white man speak with forked tongue,2019-01-22 22:07:38
roaminganon,"or, not yet",2019-01-22 22:07:39
rabidspectre,why not?,2019-01-22 22:07:39
luduvir,uuuuuuuuuhoohuuuuuuuuuuhhhhhhhhhh,2019-01-22 22:07:40
hzarim,why not,2019-01-22 22:07:40
valeyard_x,"""turlough speaks the truth.""",2019-01-22 22:07:41
jive_turkey1999,why not tpdrwhosmiley,2019-01-22 22:07:42
monkeysniffer,claps like a 400lb child,2019-01-22 22:07:42
trekkie313,what episode os this,2019-01-22 22:07:42
dimfringes,ooo oooo ooooo!,2019-01-22 22:07:43
qwurky1,"you had the power to go home the whole time, dorothy",2019-01-22 22:07:46
jonendorf,last chance saloon,2019-01-22 22:07:46
redqueenanya,jovetne yet.,2019-01-22 22:07:48
laura_page,oh lord where are we even headed......,2019-01-22 22:07:48
hayleymdraws,dooo we dooooooo,2019-01-22 22:07:50
elkestra,"do we get a third encounter? (can't remember, and i didn't see all of the 7th doctor anyway)",2019-01-22 22:07:51
kinhalchemist,why not,2019-01-22 22:07:51
cureman0909,!,2019-01-22 22:07:52
monzo_tx,enlightenment,2019-01-22 22:07:53
khrin_sco,"even p diddy is like ""yeah let's go to your home planet: and leave you there kthxbye""",2019-01-22 22:07:54
toratora_tt,one of the,2019-01-22 22:07:54
taiki14x,wheres the third encounter???,2019-01-22 22:07:55
stufew,@jovetne there's still time....,2019-01-22 22:07:55
changewinds,@jovetne was it supposed to take place in 5's era?,2019-01-22 22:07:56
reratch,is it time for to short shorts?,2019-01-22 22:07:57
roaminganon,kamelion incoming?,2019-01-22 22:07:58
dyveklykan,and now for the unintentional end to the season.,2019-01-22 22:08:00
dimfringes,oooh waaa oooooooh !,2019-01-22 22:08:01
zekrown_,why not? \_()_/,2019-01-22 22:08:07
luciangregory,"from the people who brought you time flight, remember",2019-01-22 22:08:08
mightyjone,endarkenment,2019-01-22 22:08:08
jeckwelf,"i feel like i need to watch that story again, paying it full attention",2019-01-22 22:08:09
drakooooon,:) top 10 anime horrible deaths,2019-01-22 22:08:10
cupcake037,do you mean key 2 time? was that the third encounter?,2019-01-22 22:08:10
spicyneeko,this outro is so much easier on the ears than the 4th,2019-01-22 22:08:15
brickie78,"@elkestra not on tv, probably in the expanded universe",2019-01-22 22:08:16
handcancel,the green guardian please,2019-01-22 22:08:17
jovetne,@changewinds nope... just never happened,2019-01-22 22:08:18
dimfringes,waa waa waa wa wa wa waaaaaaa,2019-01-22 22:08:18
southernuk,great episodes guys,2019-01-22 22:08:24
jovetne,@stufew @redqueenanya i wouldn't know. dr who is dead to me.,2019-01-22 22:08:25
mentalmidgetslayer,gingervitis,2019-01-22 22:08:26
xhodocto385,sora wins,2019-01-22 22:08:26
mistersp00n,the third encounter shall be when the 42nd doctor denies the black guardian a parking space at the restuarant at the end of the universe,2019-01-22 22:08:29
vivtheimplier,"@cupcake037 oh god, that garbage",2019-01-22 22:08:32
caldyz74,im pretty sure the bbc dont make anime :d,2019-01-22 22:08:33
robyn_plays,that directors name though lmao...,2019-01-22 22:08:34
monkeysniffer,who needs enlightenment wen u can have pizza,2019-01-22 22:08:35
southernuk,what is next?,2019-01-22 22:08:36
roaminganon,where's the gray guardian? :),2019-01-22 22:08:36
majestyc2k1,"key 2 time, tokyo drift",2019-01-22 22:08:37
simongradio,@roaminganon yes,2019-01-22 22:08:41
cupoftea0,nexr - the kings demons [ only 2 parts,2019-01-22 22:08:47
spidweb,enlightenment and of androzani are the high points in a pretty mediocre stretch.,2019-01-22 22:08:48
chilledgrizzly,#justiceforadric,2019-01-22 22:08:50
toratora_tt,commanderskittles i leave that for you to decide,2019-01-22 22:08:52
ram99a,terry nation is this necessary?,2019-01-22 22:08:54
xeneri,"and now .... kamelion. the robotic ""companion"" no one wanted.",2019-01-22 22:08:56
changewinds,"hmm, potential future stories, whether for bf or tv",2019-01-22 22:08:57
majestyc2k1,heathrow 1981,2019-01-22 22:08:58
polaritylolol,kill the doctor,2019-01-22 22:08:59
comanderskittles,@torator_tt what dose your imaginashon show my dear,2019-01-22 22:08:59
jive_turkey1999,@mistersp00n :d,2019-01-22 22:08:59
trekkie313,heathrow 1981,2019-01-22 22:08:59
danfan69,heathrow 1981,2019-01-22 22:09:00
ooevil_goatoo369,kins demons,2019-01-22 22:09:02
jonendorf,kill the doctor,2019-01-22 22:09:02
comedyfish_twitch,"aw miised enlightnment - thats a great one, ah well maybe in 12 hours!",2019-01-22 22:09:03
johnniles,no longer necessary :(,2019-01-22 22:09:04
jphamlore,"if it were comics, there would be a green guardian.",2019-01-22 22:09:07
kineticpause,memes,2019-01-22 22:09:07
fuzzycorona,heathrow 1981,2019-01-22 22:09:09
redqueenanya,"jovetne *petpet* you should open your mind, but i won't argue with you about it :3",2019-01-22 22:09:10
roaminganon,heathrow 1981,2019-01-22 22:09:10
ooevil_goatoo369,*kings,2019-01-22 22:09:10
southernuk,kill the torrr,2019-01-22 22:09:11
valeyard_x,you can't mend people!,2019-01-22 22:09:11
mightyjone,last chance haroon,2019-01-22 22:09:14
mclarenmercedes_,heathrow 1981,2019-01-22 22:09:14
jonendorf,all main tardis functions :),2019-01-22 22:09:20
jovetne,the next story is pretty bad,2019-01-22 22:09:20
toratora_tt,kill the doctorrrr,2019-01-22 22:09:20
dixonium,heathrow 1981.,2019-01-22 22:09:20
strawberryrosegarden,that isn't a very original observation...,2019-01-22 22:09:20
roaminganon,space,2019-01-22 22:09:23
ram99a,you're being a very stupid woman,2019-01-22 22:09:23
jphamlore,"and eventually a blue guardian, a red guardian, etc.",2019-01-22 22:09:23
polaritylolol,you cant mend people,2019-01-22 22:09:27
mclarenmercedes_,kill the doctoooohh,2019-01-22 22:09:27
valeyard_x,heathrow 1981,2019-01-22 22:09:27
redqueenanya,xeneri soooo... adric 3.0?,2019-01-22 22:09:28
luduvir,stupid woman,2019-01-22 22:09:29
vivtheimplier,is this necessary,2019-01-22 22:09:31
jeckwelf,is this necessary,2019-01-22 22:09:31
danfan69,is this necessary?,2019-01-22 22:09:31
roaminganon,not a very original observation,2019-01-22 22:09:32
cjmac_,stupid woman,2019-01-22 22:09:32
jonendorf,is this necesery?,2019-01-22 22:09:33
altplusw,dont be silly you cant mend people can you,2019-01-22 22:09:33
bostonpolarbear,nose hair!,2019-01-22 22:09:33
savoymills,you can't mend people can you??????????,2019-01-22 22:09:33
tardis_lover,you cant mend people,2019-01-22 22:09:35
pup314,sv7 kill the soctor,2019-01-22 22:09:36
ram99a,you can't mend people,2019-01-22 22:09:37
majestyc2k1,heathrow 180m bc,2019-01-22 22:09:37
southernuk,concorde rip,2019-01-22 22:09:38
lyk2,you cant mend people can you?!,2019-01-22 22:09:38
scrap104,you can't mend people can you,2019-01-22 22:09:38
metebelis3,leee john as mansell. because 3 'e's are better than 2.,2019-01-22 22:09:38
jive_turkey1999,you cant mend people can you?,2019-01-22 22:09:39
polaritylolol,is this necessary?,2019-01-22 22:09:40
mightyjone,necessary celery,2019-01-22 22:09:41
jovetne,"@redqueenanya i gave it a chance. i watched it for several years. but, no more. new who is not for me.",2019-01-22 22:09:42
toratora_tt,is this necessary ?,2019-01-22 22:09:42
megaryulong,chatroom are guys getting something with the pre-order of kh3?,2019-01-22 22:09:43
mrkaharvey,don't stop me now,2019-01-22 22:09:43
laura_page,"so you see, i'm not going to leave you stop me now!",2019-01-22 22:09:43
mclarenmercedes_,is this necessary,2019-01-22 22:09:44
drakooooon,:) is this necezzary?,2019-01-22 22:09:45
cookiemonster523,mend,2019-01-22 22:09:45
mitsukara,"why did this trailer include ""heath row"" three times",2019-01-22 22:09:46
roaminganon,"heathrow 140,000,000 bc",2019-01-22 22:09:48
elkestra,"unfortunately, its a bit too much background lore to get the 3rd encounter in nuwho.... maybe in bf audio?",2019-01-22 22:09:48
spidweb,i'm just here to take in once again the glory of the myrka.,2019-01-22 22:09:50
impoke_,you can't mend people can you?,2019-01-22 22:09:50
toratora_tt,dont be silly,2019-01-22 22:09:51
ezco81,adric was never right!,2019-01-22 22:09:52
mclarenmercedes_,you can't mend people can you,2019-01-22 22:09:53
ram99a,this marathon is relentless,2019-01-22 22:09:54
caldyz74,haahaa,2019-01-22 22:09:54
jovetne,@metebelis3 he was pretty good,2019-01-22 22:09:57
roaminganon,:( adric,2019-01-22 22:09:57
xeneri,"*mends people, just for spite""",2019-01-22 22:09:59
toratora_tt,people,2019-01-22 22:10:00
dimfringes,oooohwaaaoooo,2019-01-22 22:10:02
mitsukara,i get the impression the trailer maker liked tom baker more than peter davison,2019-01-22 22:10:06
chilledgrizzly,doctor disco,2019-01-22 22:10:08
laura_page,so relentless,2019-01-22 22:10:09
hayleymdraws,you can't mend people can you?!~?!?!?,2019-01-22 22:10:12
jovetne,this is only a two-parter,2019-01-22 22:10:13
xhodocto385,adric :(,2019-01-22 22:10:15
draugur_,this is a good story,2019-01-22 22:10:16
danfan69,you can't mend adric can you?,2019-01-22 22:10:16
drakooooon,:) demon,2019-01-22 22:10:16
raggedboneman,is this necessary?,2019-01-22 22:10:18
pup314,i want silurians and sea devils,2019-01-22 22:10:18
mitsukara,though he has a lot fewer great mugging moments to work with,2019-01-22 22:10:23
dixonium,this marathon is glorious.,2019-01-22 22:10:25
khrin_sco,"i always find this intro reminds me of the ""let forever be"" video, chemical brothers",2019-01-22 22:10:25
valeyard_x,no five doctors?,2019-01-22 22:10:28
redqueenanya,"megaryulong exclusive kh3 keyblade for preordering i believe, and a theme.",2019-01-22 22:10:29
ram99a,"ahhhhhh, love the two-parters!",2019-01-22 22:10:29
mrkaharvey,another short 2 parter,2019-01-22 22:10:31
hayleymdraws,doggos,2019-01-22 22:10:32
jovetne,@draugur_ i'm not a fan of it,2019-01-22 22:10:33
mitsukara,since five is so low-key,2019-01-22 22:10:34
pistachius,adric f,2019-01-22 22:10:35
qwurky1,doge,2019-01-22 22:10:35
toratora_tt,"alas dear adric, i knew him well",2019-01-22 22:10:35
xhodocto385,"@megaryulong yes, for enlightenment in kh :)",2019-01-22 22:10:36
ash_och_pikachu,when is the pokemon marathon starting again?,2019-01-22 22:10:36
pup314,beautiful irish wolf houunds,2019-01-22 22:10:37
kdoomed,dancing banana,2019-01-22 22:10:38
cupoftea0,dogs,2019-01-22 22:10:38
laura_page,kamelion !!!!!!!,2019-01-22 22:10:40
scotchcraft,why am i watching this i have a 500 word essay due tomorrow on whether people can be mended,2019-01-22 22:10:43
khrin_sco,oooh a game of thrones crossover episode: how fun!,2019-01-22 22:10:44
mitsukara,no five doctors sadly,2019-01-22 22:10:44
mightyjone,spamelot,2019-01-22 22:10:45
hayleymdraws,o,2019-01-22 22:10:47
comanderskittles,castrovalva 2?,2019-01-22 22:10:49
ram99a,enuff,2019-01-22 22:10:49
jphamlore,is the 12th doctor going to come in jamming on an electric guitar on a tank now?,2019-01-22 22:10:51
brian5069,fifth doctor stories seem very lame.,2019-01-22 22:10:51
dyveklykan,there was meant to be a dalek story to finish the season (warhead).,2019-01-22 22:10:52
pup314,kamelion,2019-01-22 22:10:53
