Nick,Message,Timestamp
exploratorymindz,i think they run out of material gumby,2019-02-01 21:15:40
sir_chaox,i mean it would be completely different with a different cast and animation,2019-02-01 21:15:40
gumbyfan1,@exploratorymindz i meant the reruns on air,2019-02-01 21:16:05
sir_chaox,oh,2019-02-01 21:16:22
funicode,i doubt this writing would work today,2019-02-01 21:16:22
exploratorymindz,hmm well just come here :d,2019-02-01 21:16:35
sir_chaox,we wouldnt watch it if it wasnt on twitch tho :),2019-02-01 21:16:39
spectra_twilight,"i personally don't think it worked back then, either.",2019-02-01 21:16:48
exploratorymindz,ya,2019-02-01 21:16:53
exploratorymindz,indeedyi mean what is a tv? i forget,2019-02-01 21:17:07
sir_chaox,watching tv alone feelsbadman watching tv on twitch feelsgoodman,2019-02-01 21:17:08
spectra_twilight,"i can accept the animation and sfx quality to be limitations of their time, and the music's pretty good, but the writing is just...really awful, in my opinion.",2019-02-01 21:17:26
gumbyfan1,i love how much they love the show mad made,2019-02-01 21:17:26
aelita_schaffer,how dumb is inspector gadget,2019-02-01 21:17:28
xxviios,"theres been a few updates, i think penny was 16 in the newest one, and dr claw had a son :d",2019-02-01 21:17:44
regiruler,200 iq,2019-02-01 21:17:51
exploratorymindz,"it didnt, but thats why as a kid i kept watching and expecting gadget to wise up , and his chief to wise up, and to finally see dr claw, never happend",2019-02-01 21:17:54
wolf14vargen14,@aelita_schaffer 70 iq,2019-02-01 21:18:12
spectra_twilight,"@xxviios dr. claw has a nephew, talon, in the 3d series.",2019-02-01 21:18:12
aelita_schaffer,wow these people are dumb,2019-02-01 21:18:24
wolf14vargen14,those fools those are the signing papers,2019-02-01 21:18:26
exploratorymindz,"the sillyness kept the viewer watching expecting things to change while it was still entertaining, it was perfect",2019-02-01 21:18:31
s3phtv,is that shredder?,2019-02-01 21:18:35
xxviios,nephew makes more sense,2019-02-01 21:18:46
exploratorymindz,:d,2019-02-01 21:18:48
gumbyfan1,a fool and his money are soon parted,2019-02-01 21:18:51
wolf14vargen14,@s3phtv dr claw as first,2019-02-01 21:18:56
darkmyst79,"those papers will not work, they were coerced into them? court waiting to happen.",2019-02-01 21:19:17
regiruler,"let me guess, there's s tension between talon and penny",2019-02-01 21:19:21
exploratorymindz,what about a fool and his cake?,2019-02-01 21:19:28
spectra_twilight,"gadget, you better recognize your dog. he's not even disguised this time.",2019-02-01 21:19:45
exploratorymindz,cos i have cake right now :d,2019-02-01 21:19:46
wolf14vargen14,seriosuly brain isn't even in disguise,2019-02-01 21:19:49
wolf14vargen14,2 seconds!,2019-02-01 21:20:07
grandmaster_geptu,is that a noose,2019-02-01 21:20:12
wolf14vargen14,was that a laser go n!,2019-02-01 21:20:19
grandmaster_geptu,shes got agun,2019-02-01 21:20:36
